g1,g2
-0.1148084,0.6712381
-0.30890077,0.6439215
-0.48051485,0.56705713
-0.6181336,0.4465242
-0.7097974,0.29151046
-0.7487192,0.11312955
-0.73243856,-0.07673269
-0.6604131,-0.26462638
-0.53610516,-0.43385148
-0.3694886,-0.56914175
-0.17331083,-0.6623151
0.037890494,-0.704911
0.24669893,-0.6923604
0.4360588,-0.62548727
0.59115297,-0.51058525
0.7018078,-0.35732555
0.76119673,-0.17791718
0.76166326,0.017071161
0.7031479,0.21274155
0.589291,0.39263764
0.4292839,0.5425464
0.23667654,0.6523176
0.022852097,0.71169716
-0.19458537,0.716105
-0.3982182,0.6652697
-0.57004666,0.5610793
-0.6990548,0.4144358
-0.7743626,0.2350861
-0.7904174,0.036970183
-0.7465608,-0.16676752
-0.64429724,-0.35917333
-0.48976684,-0.5235224
-0.29729345,-0.6457243
-0.0808251,-0.7195643
0.14317305,-0.7370145
0.35577986,-0.6960919
0.5397392,-0.59984696
0.68133694,-0.4575717
0.7720088,-0.28073996
0.80180955,-0.08221614
0.76990837,0.124771625
0.6776536,0.32355103
0.5312409,0.4971547
0.3435574,0.6330835
0.12756994,0.7192331
-0.10049248,0.74888736
-0.3215427,0.7198823
-0.51493967,0.63337535
-0.6689514,0.49738336
-0.7711861,0.3233551
-0.81347406,0.12430443
-0.79313385,-0.08493628
-0.7110017,-0.2894975
-0.5717634,-0.4718755
-0.38718325,-0.6161687
-0.17256626,-0.7125261
0.056555916,-0.75351286
0.28156227,-0.7343471
0.48362908,-0.65650666
0.64692116,-0.52732235
0.76055086,-0.35769525
0.8156828,-0.1610425
0.80656785,0.04992246
0.734028,0.25887284
0.60270864,0.447699
0.42390072,0.60183096
0.21177363,0.70833623
-0.01922413,0.75887984
-0.24931988,0.74968356
-0.45843467,0.68087703
-0.6302858,0.55781347
-0.7534749,0.3928874
-0.81761163,0.19695792
-0.81792855,-0.014496426
-0.75482166,-0.22608906
-0.6315721,-0.4205036
-0.45734608,-0.58099794
-0.24791695,-0.6946641
-0.018860875,-0.75506675
0.21241727,-0.7556359
0.4268273,-0.6956773
0.6066349,-0.5802977
0.7389526,-0.4201034
0.81594384,-0.22815768
0.8266925,-0.017186444
0.77280515,0.19722912
0.65754676,0.39700884
0.48973557,0.56567264
0.28367546,0.6895947
0.053306594,0.75854814
-0.18219517,0.7675919
-0.4028118,0.715901
-0.588767,0.6064077
-0.7293066,0.45050773
-0.81260765,0.25946578
-0.8317741,0.04845395
-0.78660053,-0.16717929
-0.6792074,-0.37033504
-0.51634085,-0.5437709
-0.31340063,-0.6727662
-0.08645412,-0.7501193
0.14803357,-0.7684607
0.3715988,-0.725121
0.5647973,-0.6235043
0.7129301,-0.473314
0.806822,-0.28685424
0.8358636,-0.07803593
0.7997081,0.13889687
0.7003962,0.34635884
0.5446006,0.52643144
0.34606877,0.6651972
0.11891423,0.7505886
-0.11920737,0.7763519
-0.34758136,0.74059594
-0.5451469,0.64503044
-0.7002087,0.49916098
-0.800311,0.3149848
-0.8371355,0.106753
-0.8090508,-0.10995833
-0.7170661,-0.31893966
-0.56701845,-0.5027108
-0.37223795,-0.6454653
-0.14920612,-0.7377847
0.08596075,-0.77250785
0.31541893,-0.7451773
0.51913285,-0.6578973
0.6810424,-0.51896244
0.79053044,-0.34000468
0.83769196,-0.13498507
0.81880367,0.08242938
0.73516935,0.29508424
0.5922998,0.48444518
0.40273565,0.63603777
0.18077487,0.73623794
-0.057322018,0.777881
-0.29065493,0.7577029
-0.49855226,0.67668074
-0.6662127,0.5421227
-0.78173834,0.36662558
-0.835675,0.16272542
-0.82406896,-0.0540908
-0.74783146,-0.26730028
-0.61150044,-0.45961422
-0.42618677,-0.61448455
-0.20817395,-0.720116
0.025813872,-0.77013856
0.25858343,-0.7587448
0.47089937,-0.68628246
0.64507043,-0.55936986
0.76899153,-0.38915384
0.833674,-0.18926112
0.8314918,0.02692947
0.7637342,0.24297398
0.6346344,0.44004297
0.4552758,0.6028318
0.24001238,0.71697277
0.0037952038,0.7739378
-0.23275906,0.76949877
-0.44942325,0.70364434
-0.6284538,0.58144397
-0.75867677,0.4155587
-0.82905835,0.21682882
-0.83394295,0.0013924325
-0.77386093,-0.21472481
-0.6520658,-0.41429594
-0.47738802,-0.5802353
-0.26618093,-0.69863605
-0.03461489,-0.76365477
0.20036773,-0.7682848
0.42015108,-0.71109384
0.60565597,-0.5968666
0.7433542,-0.43632746
0.8250462,-0.24256063
0.8392379,-0.028888319
0.7877896,0.18914194
0.67375183,0.39323986
0.5056079,0.5663335
0.2977676,0.6941506
0.0646946,0.7663114
-0.1741616,0.77765507
-0.39859724,0.72734416
-0.58812755,0.6181906
-0.7321194,0.46155724
-0.81841815,0.26906487
-0.83977294,0.056012053
-0.7959921,-0.16189173
-0.68913215,-0.36755756
-0.5259577,-0.54362214
-0.3218938,-0.6751515
-0.09362918,-0.7546551
0.14274615,-0.7748156
0.3689655,-0.7326358
0.5649503,-0.6314563
0.7156529,-0.48090175
0.8116561,-0.29337367
0.8423803,-0.08303927
0.8071935,0.13578512
0.7081646,0.3453825
0.55194443,0.52759606
0.352305,0.66815865
0.12363824,0.754942
-0.1162942,0.78160906
-0.34654066,0.7462064
-0.54591924,0.65045244
-0.7024785,0.5039221
-0.80378014,0.31877953
-0.84135914,0.109347396
-0.8135531,-0.10873126
-0.72139394,-0.3189151
-0.5708018,-0.50382334
-0.37515292,-0.6475635
-0.15125732,-0.7405931
0.08491198,-0.7758188
0.3154305,-0.74872214
0.5203928,-0.66130257
0.6833961,-0.5218931
0.7937094,-0.34217635
0.8413388,-0.13619713
0.8225096,0.08227809
0.7385896,0.29599774
0.59511065,0.48631167
0.40469056,0.63867813
0.18166803,0.73925567
-0.057529528,0.78097075
-0.291821,0.7605288
-0.5004817,0.6789635
-0.66865444,0.5436716
-0.7844312,0.36732462
-0.83833367,0.16253442
-0.8263913,-0.05511741
-0.7495518,-0.26895842
-0.61244607,-0.4617221
-0.42628673,-0.6168218
-0.20744576,-0.72243094
0.027196696,-0.7722463
0.26051053,-0.7604649
0.47330502,-0.68742466
0.64773965,-0.5598134
0.7716838,-0.38883463
0.8360626,-0.18818025
0.83336025,0.028706636
0.7648953,0.24530055
0.6349456,0.4426947
0.4547136,0.6055941
0.23857751,0.7195046
0.00161348,0.77600175
-0.23542953,0.77087677
-0.45227703,0.70416826
-0.63124746,0.58109075
-0.7611464,0.4143852
-0.830958,0.21491875
-0.8350768,-0.0010885727
-0.7741101,-0.21750405
-0.65134823,-0.41713095
-0.47577977,-0.5828563
-0.2638137,-0.7008354
-0.031740583,-0.7652245
0.20351945,-0.7690825
0.42336267,-0.7110228
0.60866153,-0.5959365
0.74592656,-0.43459228
0.82699686,-0.24015893
0.8403374,-0.025926508
0.7878884,0.19243646
0.67278546,0.39654976
0.5036809,0.5694059
0.29501572,0.6966491
0.06132282,0.7680252
-0.17780201,0.7784145
-0.40214154,0.72703105
-0.59132415,0.6168653
-0.7346825,0.45937657
-0.82011354,0.2661772
-0.84044677,0.052646298
-0.79555863,-0.16543223
-0.68762267,-0.37099355
-0.5234531,-0.5466354
-0.3186297,-0.67747426
-0.089883454,-0.7561263
0.14667585,-0.77529824
0.37278512,-0.7320708
0.56834334,-0.62987894
0.7183812,-0.4784503
0.8135414,-0.29024044
0.8431311,-0.07940628
0.8067691,0.1396422
0.70658875,0.3491419
0.54932517,0.5309485
0.34884018,0.67075104
0.119581886,0.7565641
-0.12057294,0.7821365
-0.35067654,0.7456104
-0.549501,0.64874464
-0.7052972,0.5012879
-0.8055859,0.31537837
-0.8419743,0.10544703
-0.812969,-0.11280305
-0.7195956,-0.32284737
-0.56788445,-0.5072567
-0.3713997,-0.6501944
-0.14702675,-0.7422987
0.089361824,-0.77641743
0.31977555,-0.7481505
0.524259,-0.6595952
0.68647695,-0.51919603
0.795801,-0.3387005
0.8421497,-0.13219261
0.8220267,0.08651518
0.7368463,0.3001129
0.5922321,0.48996776
0.40091237,0.64157903
0.17721961,0.7411458
-0.06227421,0.7816897
-0.29644978,0.75999296
-0.50453496,0.6771746
-0.67189044,0.5408183
-0.7865607,0.36357647
-0.8391526,0.15825188
-0.8258641,-0.05961367
-0.7476745,-0.27329156
-0.6093296,-0.4655249
-0.4222335,-0.61976993
-0.202775,-0.7243591
0.03212199,-0.7729591
0.2653137,-0.7598622
0.47756574,-0.6855449
0.6511264,-0.5568512
0.77397656,-0.38502336
0.83694917,-0.18379627
0.83287334,0.033357173
0.7630341,0.24983941
0.63180166,0.44670156
0.45058697,0.60878086
0.23376031,0.72157013
-0.0035277368,0.77679104
-0.24044155,0.7703122
-0.4566702,0.70225936
-0.6347697,0.578037
-0.76350677,0.4104913
-0.8319546,0.21045572
-0.8346515,-0.0057896515
-0.77226806,-0.22207044
-0.6481937,-0.4211859
-0.471617,-0.58604664
-0.25894547,-0.70299006
-0.0265589,-0.7661177
0.20861186,-0.7686042
0.4279248,-0.7092044
0.61234206,-0.592966
0.7484875,-0.43070248
0.8282209,-0.23566613
0.8401618,-0.021095632
0.78626066,0.19722985
0.66977274,0.40085858
0.49958602,0.57292116
0.29016736,0.69904405
0.05605321,0.769123
-0.18299368,0.7781388
-0.4067807,0.7253488
-0.5951454,0.613962
-0.73736596,0.4555561
-0.8214363,0.26168653
-0.84031636,0.04782308
-0.7939571,-0.17020303
-0.6846351,-0.37532458
-0.51935107,-0.5501458
-0.31378657,-0.67986757
-0.08464668,-0.7572621
0.15188967,-0.7750597
0.3775384,-0.73047143
0.5722521,-0.6270518
0.721195,-0.47465825
0.8151156,-0.28579387
0.84318167,-0.07457025
0.8053369,0.14450131
0.7037879,0.3536189
0.545372,0.5346836
0.34404948,0.6733837
0.11429257,0.7578989
-0.12589413,0.78208774
-0.35559788,0.74421215
-0.55355096,0.6460724
-0.7082675,0.49761787
-0.8072262,0.3109446
-0.84213287,0.10058269
-0.8116534,-0.11770585
-0.71689147,-0.32741502
-0.56396365,-0.5110796
-0.36662945,-0.65294844
-0.14182265,-0.7438744
0.094676524,-0.77663445
0.32481584,-0.7469734
0.52856475,-0.6571183
0.6897164,-0.5156348
0.79777384,-0.33433965
0.84256554,-0.12734969
0.82092196,0.09148324
0.7343084,0.30478907
0.5884541,0.4939705
0.3962072,0.6445676
0.17189835,0.7429019
-0.06778162,0.7820652
-0.30167764,0.7589462
-0.50897574,0.6747462
-0.6753021,0.5372729
-0.78865254,0.3591223
-0.8397026,0.15332504
-0.82491386,-0.064652935
-0.74525976,-0.27804708
-0.6056023,-0.46960112
-0.41755536,-0.6228272
-0.19757007,-0.7262726
0.03753729,-0.77352655
0.27052873,-0.758987
0.48211157,-0.6832943
0.65465546,-0.55345774
0.7762656,-0.3807592
0.83768487,-0.17896977
0.8321031,0.038407862
0.7607922,0.25469747
0.62824273,0.45095742
0.4460087,0.6120933
0.22847877,0.7236557
-0.009100193,0.7774902
-0.24582745,0.769546
-0.4613421,0.70005834
-0.63846636,0.5746384
-0.7659089,0.40616325
-0.8328621,0.20557442
-0.8340487,-0.010889309
-0.7701431,-0.22698544
-0.6446761,-0.4255123
-0.46704346,-0.5894118
-0.25365832,-0.70519805
-0.020974323,-0.76696134
0.21406443,-0.76796997
0.4327684,-0.7071346
0.61620134,-0.589679
0.75111526,-0.42646053
0.8292623,-0.23079182
0.839702,-0.015919743
0.7842675,0.20229156
0.66634196,0.40533113
0.49505803,0.57648903
0.28490502,0.7013841
0.050417297,0.7700637
-0.18847482,0.77762043
-0.4116093,0.72336006
-0.5990534,0.61071473
-0.7400277,0.45138168
-0.8226333,0.25686315
-0.8399713,0.042706095
-0.7920675,-0.17521136
-0.6812986,-0.37980896
-0.51488006,-0.55371857
-0.3085889,-0.6822247
-0.079090565,-0.7582687
0.15736213,-0.77460617
0.38245586,-0.7285945
0.57622105,-0.6239095
0.7239679,-0.47054225
0.8165549,-0.28104484
0.8430132,-0.069471784
0.8036237,0.14956199
0.7006676,0.35822108
0.54109025,0.5384571
0.33894742,0.6759712
0.10872672,0.759108
-0.1313936,0.7818403
-0.36062202,0.7425831
-0.5576254,0.64316696
-0.7111931,0.4937372
-0.8087644,0.30632973
-0.8421497,0.09558242
-0.81015664,-0.12270513
-0.7139981,-0.3320315
-0.55985945,-0.5149023
-0.36170033,-0.65565294
-0.13648851,-0.7453626
0.10008604,-0.7767288
0.32990944,-0.7456478
0.532869,-0.6544826
0.6928987,-0.5119223
0.7996414,-0.32985187
0.84284234,-0.12241362
0.81966114,0.09650452
0.7316118,0.30947465
0.58453155,0.49793753
0.39137745,0.64745194
0.16649549,0.74452525
-0.073317125,0.78229934
-0.30688685,0.75776047
-0.51335675,0.6722026
-0.6786245,0.53363025
-0.79063344,0.35460627
-0.84015226,0.14835095
-0.8238552,-0.06971504
-0.7427357,-0.28279898
-0.6017747,-0.4736454
-0.41279364,-0.62582684
-0.19230355,-0.72810507
0.042986143,-0.77399296
0.27574533,-0.75799966
0.486623,-0.68092996
0.6581174,-0.54995924
0.778462,-0.37640685
0.8383072,-0.17408222
0.8312044,0.043482583
0.7584254,0.25954658
0.62456745,0.45517486
0.4413318,0.61533755
0.2231066,0.72564536
-0.014722474,0.77808017
-0.25122353,0.7686729
-0.46598792,0.69775766
-0.6421103,0.571154
-0.76822263,0.40171638
-0.8336513,0.20060009
-0.83331186,-0.016041622
-0.76787996,-0.23191507
-0.64103234,-0.42981535
-0.46237066,-0.59271866
-0.24830814,-0.70733666
-0.015351715,-0.7677161
0.21952604,-0.76723546
0.43757832,-0.70496863
0.61999536,-0.5863086
0.7536584,-0.42215243
0.8302047,-0.22587496
0.8391215,-0.01072604
0.78215396,0.2073414
0.6628023,0.40976247
0.49044028,0.57998854
0.27955508,0.70362157
0.044734202,0.7708859
-0.19396496,0.77697754
-0.41640875,0.72126204
-0.6029032,0.6073781
-0.7426106,0.44715342
-0.8237434,0.25201967
-0.83954644,0.037607327
-0.7901136,-0.18017587
-0.6779213,-0.3842329
-0.51039946,-0.55721986
-0.30341232,-0.6845085
-0.07357656,-0.75920844
0.16277608,-0.77409405
0.38729855,-0.72667235
0.58010465,-0.62074196
0.72665346,-0.46642548
0.8179114,-0.27632007
0.84277606,-0.0644248
0.8018648,0.15455034
0.69752955,0.36273667
0.53681624,0.5421414
0.3338821,0.67847425
0.103224866,0.7602501
-0.13681331,0.78153646
-0.36555585,0.7409141
-0.56160307,0.6402384
-0.71401894,0.4898413
-0.81020385,0.30172533
-0.8420752,0.09061624
-0.80858445,-0.12765752
-0.7110476,-0.336582
-0.55572027,-0.5186439
-0.35676172,-0.6582672
-0.13117293,-0.7467581
0.10544952,-0.7767383
0.3349331,-0.74425054
0.53708625,-0.6517935
0.69598436,-0.50817823
0.80140847,-0.32535717
0.84302545,-0.117498465
0.81832594,0.10147346
0.7288678,0.31408164
0.5805938,0.5018113
0.3865686,0.6502407
0.16114782,0.7460659
-0.078763545,0.78248155
-0.31199446,0.756561
-0.51763886,0.66967064
-0.68185955,0.53003454
-0.79254687,0.35015574
-0.84056604,0.14343585
-0.8227924,-0.074699156
-0.7402385,-0.2874693
-0.5980021,-0.47761002
-0.40811232,-0.62876236
-0.18713117,-0.729895
0.048334472,-0.77444154
0.28086337,-0.75701934
0.49104258,-0.6785997
0.66150284,-0.5465202
0.78060305,-0.37213516
0.83890396,-0.1692903
0.83031136,0.04845435
0.7560973,0.2642898
0.62096655,0.45929283
0.43675396,0.618502
0.2178498,0.7275741
-0.020223169,0.7786336
-0.25649643,0.7677932
-0.47052056,0.6954832
-0.64565593,0.56772465
-0.7704616,0.39735153
-0.8343941,0.19571695
-0.83255213,-0.021104071
-0.7656275,-0.23675919
