lamb_mzae_re,lamb_wm_re,lamb_mzae_img,lamb_wm_img
-0.0009981596,-0.008557168,0.0023672392,0.0
-0.0009981596,-0.027451323,-0.0023672392,0.0
-0.0038718835,-0.0406076,0.0,0.0
-0.008126544,-0.0882826,0.009518888,0.019005327
-0.008126544,-0.0882826,-0.009518888,-0.019005327
-0.021124966,-0.09728819,0.0034005663,0.005062593
-0.021124966,-0.09728819,-0.0034005663,-0.005062593
-0.027679626,-0.13175443,0.0,0.0
