k_p_mzae,k_p_wm,k_p_DNS,pdf_p_mzae,pdf_p_wm,pdf_p_DNS
0.03686868686868686,0.03686868686868686,0.03686868686868686,21.358,24.026,20.541
0.03616161616161616,0.03616161616161616,0.03616161616161616,21.814,23.475,20.641
0.03545454545454545,0.03545454545454545,0.03545454545454545,22.124,23.13,21.046
0.03474747474747474,0.03474747474747474,0.03474747474747474,22.534,23.266,21.896
0.03404040404040404,0.03404040404040404,0.03404040404040404,23.277,24.018,23.203
0.033333333333333326,0.033333333333333326,0.033333333333333326,24.471,25.335,24.856
0.03262626262626262,0.03262626262626262,0.03262626262626262,26.121,27.03,26.686
0.03191919191919192,0.03191919191919192,0.03191919191919192,28.182,28.885,28.541
0.031212121212121205,0.031212121212121205,0.031212121212121205,30.615,30.766,30.348
0.0305050505050505,0.0305050505050505,0.0305050505050505,33.362,32.695,32.133
0.02979797979797979,0.02979797979797979,0.02979797979797979,36.299,34.822,33.971
0.029090909090909084,0.029090909090909084,0.029090909090909084,39.275,37.312,35.926
0.02838383838383838,0.02838383838383838,0.02838383838383838,42.211,40.217,38.0
0.027676767676767668,0.027676767676767668,0.027676767676767668,45.159,43.389,40.126
0.026969696969696963,0.026969696969696963,0.026969696969696963,48.223,46.509,42.216
0.02626262626262626,0.02626262626262626,0.02626262626262626,51.399,49.196,44.237
0.025555555555555547,0.025555555555555547,0.025555555555555547,54.501,51.171,46.277
0.024848484848484842,0.024848484848484842,0.024848484848484842,57.238,52.354,48.522
0.024141414141414137,0.024141414141414137,0.024141414141414137,59.315,52.846,51.104
0.023434343434343426,0.023434343434343426,0.023434343434343426,60.406,52.763,53.852
0.02272727272727272,0.02272727272727272,0.02272727272727272,60.03,52.026,56.11
0.022020202020202016,0.022020202020202016,0.022020202020202016,57.553,50.251,56.808
0.021313131313131305,0.021313131313131305,0.021313131313131305,52.458,46.864,54.834
0.0206060606060606,0.0206060606060606,0.0206060606060606,44.774,41.449,49.595
0.01989898989898989,0.01989898989898989,0.01989898989898989,35.296,34.133,41.425
0.019191919191919184,0.019191919191919184,0.019191919191919184,25.398,25.741,31.587
0.01848484848484848,0.01848484848484848,0.01848484848484848,16.516,17.541,21.788
0.017777777777777767,0.017777777777777767,0.017777777777777767,9.621,10.693,13.5
0.01707070707070707,0.01707070707070707,0.01707070707070707,4.982,5.791,7.471
0.016363636363636358,0.016363636363636358,0.016363636363636358,2.276,2.775,3.677
0.015656565656565646,0.015656565656565646,0.015656565656565646,0.912,1.174,1.604
0.014949494949494935,0.014949494949494935,0.014949494949494935,0.319,0.438,0.619
0.014242424242424237,0.014242424242424237,0.014242424242424237,0.097,0.144,0.21
0.013535353535353525,0.013535353535353525,0.013535353535353525,0.025,0.042,0.063
0.012828282828282814,0.012828282828282814,0.012828282828282814,0.006,0.011,0.017
0.012121212121212116,0.012121212121212116,0.012121212121212116,0.001,0.002,0.004
0.011414141414141404,0.011414141414141404,0.011414141414141404,0.0,0.0,0.001
0.010707070707070693,0.010707070707070693,0.010707070707070693,0.0,0.0,0.0
0.01,0.01,0.01,0.0,0.0,0.0
