g1,g2,time
0.008629813,8.704147e-05,0
0.008191507,0.0011446013,1
0.0074647088,0.0020839276,2
0.0065132463,0.0028580823,3
0.005398365,0.003425733,4
0.0041823257,0.0037518863,5
0.0029296023,0.0038095184,6
0.0017067604,0.0035815388,7
0.0005812329,0.003062674,8
-0.00038079947,0.0022610119,9
-0.0011174101,0.0011987804,10
-0.0015738771,-8.741867e-05,11
-0.0017059394,-0.001547195,12
-0.0014826312,-0.0031177178,13
-0.00088897446,-0.004725933,14
7.202949e-05,-0.006291485,15
0.00137835,-0.007730172,16
0.0029884186,-0.008958,17
0.004841889,-0.009895609,18
0.006861358,-0.01047254,19
0.008955053,-0.010631611,20
0.011020324,-0.010333139,21
0.012948394,-0.009557987,22
0.014629517,-0.008310158,23
0.015958318,-0.0066185594,24
0.016839612,-0.0045372564,25
0.017194265,-0.0021445325,26
0.016964326,0.00045923353,27
0.016117714,0.0031552254,28
0.014651617,0.0058110137,29
0.012595482,0.008286507,30
0.01001096,0.010440594,31
0.0069915703,0.012138263,32
0.0036603827,0.013258089,33
0.00016562811,0.013699271,34
-0.003324889,0.013388624,35
-0.006630948,0.012285925,36
-0.009568172,0.010388695,37
-0.011957343,0.007735126,38
-0.013634088,0.0044049663,39
-0.014458511,0.00051849015,40
-0.014323911,-0.0037663302,41
-0.013165013,-0.008258971,42
-0.010964573,-0.012743782,43
-0.007757832,-0.016988866,44
-0.0036346936,-0.02075681,45
0.0012608457,-0.023816472,46
0.0067337886,-0.025955295,47
0.012544534,-0.026992436,48
0.018418133,-0.026789924,49
0.024055514,-0.025263775,50
0.029147321,-0.02239267,51
0.033389166,-0.01822365,52
0.03649758,-0.012875533,53
0.038227003,-0.006537201,54
0.03838467,0.0005364713,55
0.036844365,0.008033725,56
0.03355799,0.015597819,57
0.028563995,0.022842618,58
0.021991825,0.029370744,59
0.014061614,0.034793437,60
0.0050796587,0.03875097,61
-0.004570835,0.04093289,62
-0.01444379,0.0410973,63
-0.024047825,0.03908796,64
-0.03286912,0.034847174,65
-0.04039509,0.028426416,66
-0.046141177,0.019990785,67
-0.04967758,0.009820634,68
-0.050655294,-0.0016948294,69
-0.048831604,-0.014068382,70
-0.04408926,-0.026731173,71
-0.03645415,-0.039054293,72
-0.026102394,-0.050375644,73
-0.01336579,-0.0600314,74
0.001275824,-0.06738937,75
0.017206503,-0.071886405,76
0.033696707,-0.073064096,77
0.04993309,-0.0706005,78
0.06505355,-0.06434132,79
0.078187644,-0.05432438,80
0.088505305,-0.04078807,81
0.0952584,-0.024179129,82
0.09783113,-0.0051388214,83
0.09577668,0.015514971,84
0.08885541,0.036821935,85
0.077060595,0.05772163,86
0.060608298,0.07708941,87
0.039944667,0.09378164,88
0.0159137,0.10677468,89
-0.010451363,0.11518925,90
-0.03804672,0.11829915,91
-0.06562523,0.11553121,92
-0.09175452,0.106585875,93
-0.11494408,0.091477625,94
-0.133768,0.070503026,95
-0.14690003,0.04428561,96
-0.15320674,0.013758652,97
-0.15182441,-0.019854214,98
-0.14224486,-0.055070758,99
-0.124460034,-0.09019971,100
-0.09876996,-0.12340602,101
-0.06586336,-0.15256695,102
-0.02669726,-0.17479903,103
0.01664522,-0.18843678,104
0.06175552,-0.19219896,105
0.10611177,-0.18541194,106
0.1471557,-0.16804813,107
0.18240187,-0.14067014,108
0.20959134,-0.104436815,109
0.22684209,-0.060920164,110
0.23282543,-0.012236184,111
0.22654086,0.039679922,112
0.20742394,0.09214914,113
0.17572926,0.14215562,114
0.13243522,0.18678156,115
0.07885739,0.22267653,116
0.017661443,0.24755183,117
-0.047858633,0.25978032,118
-0.11409248,0.2585551,119
-0.17722961,0.24360457,120
-0.23370336,0.2144454,121
-0.28026578,0.17208563,122
-0.31416914,0.11637919,123
-0.33226308,0.04968328,124
-0.33273026,-0.025196575,125
-0.3142554,-0.10446663,126
-0.2756893,-0.18371065,127
-0.21708621,-0.25554872,128
-0.14127126,-0.31403092,129
-0.053254146,-0.35468096,130
0.041092418,-0.37372583,131
0.13581258,-0.36953723,132
0.2250083,-0.34270227,133
0.30247575,-0.29446927,134
0.3633935,-0.22720274,135
0.40489063,-0.14433244,136
0.42377743,-0.050175723,137
0.41456226,0.04966104,138
0.37706208,0.14860822,139
0.3142802,0.2410016,140
0.22900143,0.31968614,141
0.12666763,0.38033196,142
0.013335946,0.41889814,143
-0.10394846,0.43230152,144
-0.21935801,0.41888565,145
-0.32665235,0.3788171,146
-0.41815335,0.31430325,147
-0.48523754,0.22507183,148
-0.5238475,0.11560342,149
-0.53156143,-0.007201698,150
-0.5040151,-0.13657843,151
-0.44121486,-0.26314375,152
-0.34290892,-0.37569773,153
-0.2162993,-0.46488672,154
-0.07208425,-0.52292645,155
0.08030932,-0.54388005,156
0.22852165,-0.5255773,157
0.36097488,-0.4699106,158
0.46943966,-0.3819832,159
0.54732513,-0.2678451,160
0.59084004,-0.13431665,161
0.59258074,0.011522124,162
0.5507327,0.1585086,163
0.46826452,0.29575795,164
0.3508138,0.41314197,165
0.20768246,0.50376767,166
0.046874933,0.56146234,167
-0.12084245,0.57992923,168
-0.2831626,0.5570899,169
-0.4301618,0.49377143,170
-0.5501541,0.39381334,171
-0.63213235,0.263351,172
-0.66995496,0.11022695,173
-0.6616633,-0.0562481,174
-0.6047279,-0.2245785,175
-0.50101936,-0.37879813,176
-0.35792103,-0.5053032,177
-0.1853179,-0.5968837,178
0.0031456663,-0.6443289,179
0.19273409,-0.6428539,180
0.3680266,-0.5922023,181
0.5152895,-0.49712217,182
0.6249011,-0.3656529,183
0.6913642,-0.20821671,184
0.7064303,-0.033581264,185
0.6682389,0.1458069,186
0.5787017,0.3155346,187
0.44422248,0.46188068,188
0.27643412,0.5757944,189
0.08556752,0.64804703,190
-0.1148084,0.6712381,191
-0.30890077,0.6439215,192
-0.48051485,0.56705713,193
-0.6181336,0.4465242,194
-0.7097974,0.29151046,195
-0.7487192,0.11312955,196
-0.73243856,-0.07673269,197
-0.6604131,-0.26462638,198
-0.53610516,-0.43385148,199
-0.3694886,-0.56914175,200
-0.17331083,-0.6623151,201
0.037890494,-0.704911,202
0.24669893,-0.6923604,203
0.4360588,-0.62548727,204
0.59115297,-0.51058525,205
0.7018078,-0.35732555,206
0.76119673,-0.17791718,207
0.76166326,0.017071161,208
0.7031479,0.21274155,209
0.589291,0.39263764,210
0.4292839,0.5425464,211
0.23667654,0.6523176,212
0.022852097,0.71169716,213
-0.19458537,0.716105,214
-0.3982182,0.6652697,215
-0.57004666,0.5610793,216
-0.6990548,0.4144358,217
-0.7743626,0.2350861,218
-0.7904174,0.036970183,219
-0.7465608,-0.16676752,220
-0.64429724,-0.35917333,221
-0.48976684,-0.5235224,222
-0.29729345,-0.6457243,223
-0.0808251,-0.7195643,224
0.14317305,-0.7370145,225
0.35577986,-0.6960919,226
0.5397392,-0.59984696,227
0.68133694,-0.4575717,228
0.7720088,-0.28073996,229
0.80180955,-0.08221614,230
0.76990837,0.124771625,231
0.6776536,0.32355103,232
0.5312409,0.4971547,233
0.3435574,0.6330835,234
0.12756994,0.7192331,235
-0.10049248,0.74888736,236
-0.3215427,0.7198823,237
-0.51493967,0.63337535,238
