xseq_norm,xkoop_norm,time
0.091816075,0.94728506,43.5
0.10474916,0.9503611,43.75
0.08846753,0.9353248,44.0
0.05071864,0.90693945,44.25
0.017987624,0.8733857,44.5
0.04319174,0.84412694,44.75
0.010294979,0.82931757,45.0
0.053213026,0.83618873,45.25
0.0431281,0.8621326,45.5
0.063445225,0.89744675,45.75
0.06472536,0.9303477,46.0
0.0110957315,0.95203596,46.25
0.09930962,0.95852244,46.5
0.042031538,0.9482293,46.75
0.049393643,0.92177266,47.0
0.02883208,0.8878902,47.25
0.03353923,0.8565173,47.5
0.036681317,0.8396843,47.75
0.06322284,0.8435763,48.0
0.09067292,0.86646265,48.25
0.016446518,0.9022464,48.5
0.069607735,0.93808264,48.75
0.04738976,0.9625903,49.0
0.050759867,0.9725074,49.25
0.045836374,0.9630543,49.5
0.029702036,0.9372752,49.75
0.04188515,0.9032017,50.0
0.07248758,0.86995375,50.25
0.0727903,0.84767836,50.5
0.057834983,0.8452622,50.75
0.08074636,0.8651491,51.0
0.07503111,0.89894587,51.25
0.081330724,0.9348805,51.5
0.034054548,0.96187127,51.75
0.14105758,0.9743012,52.0
0.039243374,0.97162515,52.25
0.045334313,0.9487092,52.5
0.063119985,0.9153517,52.75
0.048934832,0.8814961,53.0
0.031102723,0.85816765,53.25
0.068217106,0.85478806,53.5
0.11790558,0.87135184,53.75
0.08592004,0.90397084,54.0
0.114240065,0.94183415,54.25
0.050949343,0.9698163,54.5
0.037624367,0.9844099,54.75
0.04931751,0.98045254,55.0
0.036957778,0.9583968,55.25
0.050601102,0.92554766,55.5
0.09732586,0.89041895,55.75
0.0972065,0.8627249,56.0
0.049001966,0.8531504,56.25
0.06991926,0.86714387,56.5
0.10302452,0.8983045,56.75
0.102717094,0.935345,57.0
0.066739,0.9662313,57.25
0.07786336,0.9834436,57.5
0.037739024,0.9846359,57.75
0.040288515,0.9662192,58.0
0.084699556,0.93468064,58.25
0.062253304,0.8997181,58.5
0.049516033,0.87159973,58.75
0.051841684,0.8620511,59.0
0.1350135,0.87298274,59.25
0.117277965,0.9017985,59.5
0.115437396,0.9393433,59.75
0.10455713,0.970509,60.0
0.05388773,0.9890175,60.25
0.050349742,0.9902402,60.5
0.023241976,0.9726339,60.75
0.04849752,0.9415019,61.0
0.10194976,0.90504533,61.25
0.11350074,0.87349105,61.5
0.0714476,0.8579424,61.75
0.064883634,0.8653835,62.0
0.114277124,0.8928976,62.25
0.1156795,0.9294299,62.5
