g1,g2,time
-0.002987504,-0.005415923,0.0
-0.0029534616,-0.005427232,0.2
-0.0029245138,-0.005446931,0.4
-0.0029014633,-0.0054743676,0.6000000000000001
-0.0028850336,-0.005508911,0.8
-0.0028759164,-0.005549708,1.0
-0.0028745893,-0.005595824,1.2000000000000002
-0.0028814897,-0.0056459536,1.4000000000000001
-0.0028967988,-0.005698667,1.6
-0.0029203848,-0.005752417,1.8
-0.0029519945,-0.005805395,2.0
-0.0029909667,-0.005855861,2.2
-0.0030364024,-0.0059020314,2.4000000000000004
-0.0030872154,-0.0059420397,2.6
-0.003142014,-0.0059742215,2.8000000000000003
-0.0031991615,-0.005997098,3.0
-0.0032568953,-0.006009368,3.2
-0.003313332,-0.0060100337,3.4000000000000004
-0.0033664925,-0.0059984657,3.6
-0.0034144125,-0.005974404,3.8000000000000003
-0.003455268,-0.005937866,4.0
-0.0034873222,-0.005889366,4.2
-0.0035089683,-0.005829895,4.4
-0.0035189353,-0.005760777,4.6000000000000005
-0.003516203,-0.0056837844,4.800000000000001
-0.0035001677,-0.0056010545,5.0
-0.003470619,-0.0055149966,5.2
-0.0034277833,-0.005428292,5.4
-0.0033722876,-0.0053438693,5.6000000000000005
-0.0033053386,-0.0052646073,5.800000000000001
-0.0032285394,-0.0051934132,6.0
-0.003143847,-0.0051331604,6.2
-0.003053671,-0.0050864457,6.4
-0.0029607418,-0.0050555416,6.6000000000000005
-0.002867974,-0.0050423616,6.800000000000001
-0.0027784307,-0.0050483686,7.0
-0.0026952955,-0.005074413,7.2
-0.0026216817,-0.005120768,7.4
-0.0025605918,-0.0051869983,7.6000000000000005
-0.002514781,-0.0052719465,7.800000000000001
-0.002486555,-0.005373932,8.0
-0.0024778864,-0.005490429,8.200000000000001
-0.0024901326,-0.005618387,8.4
-0.002524006,-0.0057542464,8.6
-0.0025795933,-0.005893959,8.8
-0.002656289,-0.0060330695,9.0
-0.0027527397,-0.00616688,9.200000000000001
-0.00286687,-0.0062906146,9.4
-0.0029957932,-0.006399664,9.600000000000001
-0.0031360765,-0.006489575,9.8
-0.0032837351,-0.006556225,10.0
-0.0034342033,-0.0065961867,10.200000000000001
-0.0035826724,-0.006606575,10.4
-0.00372407,-0.0065854057,10.600000000000001
