omega1,omega2,time
0.0011579357,-0.0002952218,0.0
0.0011579357,-0.0002952218,0.2
0.001158692,-0.00029537454,0.4
0.0011601262,-0.00029592216,0.6000000000000001
0.0011620633,-0.0002968721,0.8
0.0011644997,-0.0002983287,1.0
0.0011671744,-0.0003001243,1.2000000000000002
0.0011700243,-0.00030228868,1.4000000000000001
0.0011730231,-0.00030479208,1.6
0.0011758991,-0.00030745193,1.8
0.001178693,-0.00031031296,2.0
0.0011812709,-0.00031325594,2.2
0.0011834353,-0.00031608343,2.4000000000000004
0.0011851601,-0.00031879544,2.6
0.0011864044,-0.00032130256,2.8000000000000003
0.0011870526,-0.00032346323,3.0
0.0011870526,-0.0003252104,3.2
0.0011864118,-0.0003264919,3.4000000000000004
0.001185108,-0.0003272295,3.6
0.0011830516,-0.00032726675,3.8000000000000003
0.0011803135,-0.00032664835,4.0
0.0011770241,-0.00032539293,4.2
0.0011731721,-0.0003234297,4.4
0.0011689253,-0.00032082945,4.6000000000000005
0.0011643544,-0.00031764805,4.800000000000001
0.0011596046,-0.00031392276,5.0
0.0011548251,-0.0003097728,5.2
0.0011502467,-0.0003053695,5.4
0.0011458956,-0.00030072778,5.6000000000000005
0.0011419766,-0.00029603392,5.800000000000001
0.0011387207,-0.00029149652,6.0
0.0011361875,-0.00028721243,6.2
0.0011344887,-0.00028333068,6.4
0.0011337884,-0.00028003752,6.6000000000000005
0.0011341833,-0.00027749687,6.800000000000001
0.0011356585,-0.00027578697,7.0
0.0011382662,-0.00027504936,7.2
0.001141943,-0.0002753213,7.4
0.0011466108,-0.00027662516,7.6000000000000005
0.0011522882,-0.00027911365,7.800000000000001
0.0011586994,-0.00028260425,8.0
0.0011657514,-0.00028713048,8.200000000000001
0.0011732839,-0.00029262528,8.4
0.001181025,-0.0002989322,8.6
0.0011886992,-0.0003058426,8.8
0.0011960492,-0.00031315535,9.0
0.0012027957,-0.00032066554,9.200000000000001
0.0012088045,-0.00032820925,9.4
0.0012137257,-0.00033546984,9.600000000000001
0.0012173019,-0.0003421493,9.8
0.0012194738,-0.00034812093,10.0
0.0012199692,-0.0003530085,10.200000000000001
0.0012187436,-0.0003566593,10.4
0.0012157187,-0.00035890192,10.600000000000001
0.0012108535,-0.0003594905,10.8
0.0012042522,-0.00035838783,11.0
0.0011960678,-0.00035553426,11.200000000000001
0.0011864938,-0.00035100803,11.4
0.0011757053,-0.00034472346,11.600000000000001
0.001163993,-0.00033681467,11.8
0.0011517219,-0.000327494,12.0
0.0011392124,-0.0003169328,12.200000000000001
0.0011269338,-0.00030548126,12.4
0.0011153184,-0.00029346347,12.600000000000001
0.001104787,-0.0002812706,12.8
0.0010957681,-0.00026927888,13.0
0.001088541,-0.0002578199,13.200000000000001
0.0010835752,-0.00024742633,13.4
0.0010810122,-0.00023838133,13.600000000000001
0.0010812171,-0.00023116916,13.8
0.0010842346,-0.00022604689,14.0
0.0010902174,-0.00022337586,14.200000000000001
0.0010990538,-0.00022334978,14.4
0.0011106022,-0.00022608042,14.600000000000001
0.0011247098,-0.00023169816,14.8
0.0011409707,-0.00024010986,15.0
0.0011590049,-0.00025124103,15.200000000000001
0.0011783205,-0.0002648756,15.4
0.001198329,-0.00028067827,15.600000000000001
0.0012183897,-0.00029824302,15.8
0.0012378693,-0.00031710416,16.0
0.0012560152,-0.00033663213,16.2
0.0012722611,-0.00035633147,16.400000000000002
0.0012859143,-0.00037550926,16.6
0.00129636,-0.00039349496,16.8
0.0013029985,-0.00040953606,17.0
0.0013055019,-0.0004230924,17.2
0.0013036691,-0.0004337132,17.400000000000002
0.00129712,-0.0004406497,17.6
0.0012857132,-0.00044336915,17.8
0.0012698285,-0.0004418306,18.0
0.0012496039,-0.00043570995,18.2
0.0012255795,-0.00042510778,18.400000000000002
0.001198113,-0.00040980428,18.6
0.0011682548,-0.00039039925,18.8
0.0011365972,-0.00036709756,19.0
0.0011041425,-0.0003404878,19.200000000000003
0.0010718852,-0.00031121075,19.400000000000002
0.0010410808,-0.00028026104,19.6
0.0010127388,-0.0002484657,19.8
0.0009880066,-0.00021689385,20.0
0.0009677224,-0.00018652529,20.200000000000003
0.0009529181,-0.0001584515,20.400000000000002
0.0009444654,-0.00013380498,20.6
0.0009428561,-0.000113502145,20.8
0.00094867125,-9.8552555e-05,21.0
0.00096203387,-8.969754e-05,21.200000000000003
0.0009829588,-8.7596476e-05,21.400000000000002
0.0010111667,-9.2700124e-05,21.6
0.0010461025,-0.0001051873,21.8
0.001087036,-0.00012513995,22.0
0.001132898,-0.00015224889,22.200000000000003
0.0011824518,-0.00018602982,22.400000000000002
0.0012342632,-0.00022574514,22.6
0.0012866557,-0.00027034432,22.8
0.001338061,-0.00031872094,23.0
0.0013865568,-0.00036932528,23.200000000000003
0.0014305487,-0.00042079017,23.400000000000002
0.0014681779,-0.00047133118,23.6
0.0014977902,-0.0005191341,23.8
0.001518134,-0.00056265667,24.0
0.0015278421,-0.0006000325,24.200000000000003
0.0015260912,-0.0006297678,24.400000000000002
0.0015124455,-0.00065060705,24.6
0.0014864318,-0.00066111237,24.8
0.0014482401,-0.0006602779,25.0
0.0013985969,-0.0006477684,25.200000000000003
0.0013385378,-0.00062322244,25.400000000000002
0.0012694225,-0.00058685243,25.6
0.001192987,-0.0005391687,25.8
0.0011113994,-0.00048106164,26.0
0.001027178,-0.00041393936,26.200000000000003
0.0009429082,-0.00033950806,26.400000000000002
0.00086129084,-0.00025984645,26.6
0.000785362,-0.0001773499,26.8
0.00071778893,-9.4525516e-05,27.0
0.0006613992,-1.4163554e-05,27.200000000000003
0.0006186515,6.0949475e-05,27.400000000000002
0.0005917661,0.00012800843,27.6
0.00058247894,0.00018431619,27.8
0.0005920306,0.00022746995,28.0
0.0006213151,0.00025516003,28.200000000000003
0.000670325,0.00026573986,28.400000000000002
0.0007385574,0.00025785714,28.6
0.00082483515,0.00023072213,28.8
0.0009274334,0.00018410757,29.0
0.0010436103,0.00011859089,29.200000000000003
0.0011704676,3.5211444e-05,29.400000000000002
0.0013042986,-6.419793e-05,29.6
0.0014409758,-0.00017721951,29.8
0.0015761517,-0.00030089542,30.0
0.0017052256,-0.0004316494,30.200000000000003
0.0018236376,-0.00056554377,30.400000000000002
0.0019268468,-0.000698328,30.6
0.0020105802,-0.0008256212,30.8
0.0020708032,-0.0009426847,31.0
0.0021039508,-0.0010448396,31.200000000000003
0.0021082275,-0.001128614,31.400000000000002
0.0020811446,-0.0011895038,31.6
0.0020223,-0.0012246445,31.8
0.001931563,-0.0012310892,32.0
0.0018105395,-0.0012073368,32.2
0.0016612895,-0.001152344,32.4
0.0014872514,-0.0010661408,32.6
0.0012927018,-0.0009496957,32.800000000000004
0.001083184,-0.0008054897,33.0
0.00086515024,-0.00063696876,33.2
0.0006448962,-0.0004479736,33.4
0.00042979792,-0.00024370849,33.6
0.00022702292,-3.0077994e-05,33.800000000000004
4.4163316e-05,0.00018628687,34.0
-0.00011173263,0.00039838627,34.2
-0.00023371354,0.00059883296,34.4
-0.0003159903,0.0007803105,34.6
-0.00035377964,0.0009358451,34.800000000000004
-0.00034329668,0.0010588281,35.0
-0.00028165057,0.0011428334,35.2
-0.00016860291,0.0011834651,35.4
-4.9732625e-06,0.0011768416,35.6
0.00020711496,0.0011201985,35.800000000000004
0.00046286732,0.0010129139,36.0
0.00075663626,0.0008555427,36.2
0.0010805279,0.00065081567,36.4
0.001425352,0.00040271506,36.6
0.0017808862,0.00011720136,36.800000000000004
0.002136048,-0.00019837916,37.0
0.002478674,-0.000535056,37.2
0.0027969629,-0.00088310987,37.4
0.003078226,-0.00123116,37.6
0.003311295,-0.0015675724,37.800000000000004
0.0034860075,-0.001880832,38.0
0.0035930313,-0.0021590516,38.2
0.0036249869,-0.0023910925,38.400000000000006
0.0035771318,-0.0025671422,38.6
0.0034460612,-0.0026776828,38.800000000000004
0.0032318793,-0.0027156547,39.0
0.002937656,-0.0026762635,39.2
0.002568163,-0.0025560558,39.400000000000006
0.002131749,-0.0023545623,39.6
0.0016392209,-0.002073802,39.800000000000004
0.0011033118,-0.0017184131,40.0
0.0005402379,-0.0012964606,40.2
-3.329292e-05,-0.00081796944,40.400000000000006
-0.00059876963,-0.0002956763,40.6
-0.0011369102,0.0002554655,40.800000000000004
-0.0016288124,0.00081894547,41.0
-0.0020555444,0.001376681,41.2
-0.0023996457,0.0019099191,41.400000000000006
-0.0026451983,0.0023994595,41.6
-0.0027777702,0.0028260536,41.800000000000004
-0.0027874038,0.0031725168,42.0
-0.0026664957,0.003422536,42.2
-0.0024113394,0.0035620034,42.400000000000006
-0.0020217635,0.003579095,42.6
-0.0015048124,0.0034678727,42.800000000000004
-0.00086895004,0.003224302,43.0
-0.00012994185,0.002849631,43.2
0.000694748,0.0023489594,43.400000000000006
0.0015824847,0.001730971,43.6
0.0025054775,0.0010112375,43.800000000000004
0.0034356602,0.00020769984,44.0
0.004342865,-0.00065750256,44.2
0.0051944815,-0.0015585683,44.400000000000006
0.005958684,-0.0024678186,44.6
0.006603867,-0.003354244,44.800000000000004
0.0071026348,-0.004188005,45.0
0.0074312165,-0.004939504,45.2
0.007567525,-0.00557781,45.400000000000006
0.007497225,-0.0060761683,45.6
0.0072117336,-0.006410666,45.800000000000004
0.0067096017,-0.0065623075,46.0
0.005994793,-0.0065141246,46.2
0.005082514,-0.00626,46.400000000000006
0.0039898716,-0.0057946444,46.6
0.0027448349,-0.005121924,46.800000000000004
0.0013782308,-0.0042515434,47.0
-6.732717e-05,-0.00320296,47.2
-0.0015497319,-0.0019999668,47.400000000000006
-0.0030241683,-0.0006729588,47.6
-0.004441276,0.00074150413,47.800000000000004
-0.005751848,0.0022020862,48.0
-0.0066387393,0.0033985637,48.2
-0.007300429,0.0045224205,48.400000000000006
-0.007783141,0.0056140944,48.6
-0.008054849,0.0066307783,48.800000000000004
-0.008092631,0.007529594,49.0
-0.007884096,0.008273184,49.2
-0.0074302815,0.008795716,49.400000000000006
-0.006782867,0.008851789,49.6
-0.005904343,0.00867822,49.800000000000004
-0.004462391,0.007978715,50.0
-0.0026337616,0.0069026574,50.2
-0.0005698092,0.0055749193,50.400000000000006
0.0016814806,0.004021991,50.6
0.004054252,0.002285108,50.800000000000004
0.0064738356,0.0004146397,51.0
0.008826759,-0.0015212074,51.2
0.010959864,-0.0034823418,51.400000000000006
0.012833953,-0.0056370497,51.6
0.0142734535,-0.007756509,51.800000000000004
0.0143538155,-0.009246409,52.0
0.014255118,-0.01062952,52.2
0.013829321,-0.0118155405,52.400000000000006
0.013113193,-0.012758613,52.6
0.012150433,-0.013419084,52.800000000000004
0.010965977,-0.01375813,53.0
0.009596672,-0.013746519,53.2
0.008004762,-0.01325855,53.400000000000006
0.0062618963,-0.012381412,53.6
0.0029523782,-0.01043535,53.800000000000004
-0.0004494451,-0.008094497,54.0
-0.0039116256,-0.0054208636,54.2
-0.0070358217,-0.0027822554,54.400000000000006
-0.009306539,-0.00065743923,54.6
-0.011527218,0.0017676763,54.800000000000004
-0.013531182,0.004359834,55.0
-0.015138175,0.006997749,55.2
-0.015918903,0.009317331,55.400000000000006
-0.015812475,0.0112158805,55.6
-0.015546445,0.012932144,55.800000000000004
-0.014516339,0.01293841,56.0
-0.013589781,0.0129400045,56.2
-0.012047838,0.012661204,56.400000000000006
-0.009746049,0.011988431,56.6
-0.0072434954,0.011152588,56.800000000000004
-0.004623849,0.010273881,57.0
-0.0014955029,0.00880412,57.2
0.0019191466,0.0062599927,57.400000000000006
0.0064717866,0.002387926,57.6
0.011267047,-0.0016549453,57.800000000000004
0.014869828,-0.00509315,58.0
0.014944892,-0.0066723116,58.2
0.015373189,-0.008359224,58.400000000000006
0.015125077,-0.01063019,58.6
0.014625158,-0.013287529,58.800000000000004
0.014274981,-0.015897963,59.0
0.014097568,-0.018361308,59.2
0.013954166,-0.0203764,59.400000000000006
0.0129591,-0.021424383,59.6
0.010267299,-0.01959785,59.800000000000004
0.0078091584,-0.016835235,60.0
0.005186189,-0.013792779,60.2
0.0024995394,-0.010588974,60.400000000000006
-0.0037767924,-0.0056094453,60.6
-0.0078650005,-0.0019974448,60.800000000000004
-0.011685882,0.0013715476,61.0
-0.013916317,0.0035293773,61.2
-0.013724465,0.0040524974,61.400000000000006
-0.014502451,0.0053871647,61.6
-0.015271779,0.007870264,61.800000000000004
